name,image_url,category,item_id,ticket_id,color,brand,brand_image_url,genre,genre_image_url,rarity,like,outfit_id,outfit_image_url,note,detail_url,series_name,series_url
ロマンスビート キラッとワンピ,https://prichan.jp/resources/images/items/details/70250.jpg,ワンピース,PCH3-01,70250,緑,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,1900,3-01,https://prichan.jp/resources/images/items/outfits/3-01.png,,https://prichan.jp/items/details/70250.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろシューズ,https://prichan.jp/resources/images/items/details/70266.jpg,シューズ,PCH3-17,70266,白,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,750,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70266.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろスカート,https://prichan.jp/resources/images/items/details/70265.jpg,ボトムス,PCH3-16,70265,紫,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,800,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70265.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろヘアアクセ,https://prichan.jp/resources/images/items/details/70267.jpg,ヘアアクセ,PCH3-18,70267,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,750,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70267.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろトップス,https://prichan.jp/resources/images/items/details/70264.jpg,トップス,PCH3-15,70264,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,850,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70264.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイヘアアクセ,https://prichan.jp/resources/images/items/details/70263.jpg,ヘアアクセ,PCH3-14,70263,水色,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70263.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイシューズ,https://prichan.jp/resources/images/items/details/70262.jpg,シューズ,PCH3-13,70262,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70262.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイスカート,https://prichan.jp/resources/images/items/details/70261.jpg,ボトムス,PCH3-12,70261,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,800,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70261.html,,https://prichan.jp/items/index.html
name,image_url,category,item_id,ticket_id,color,brand,brand_image_url,genre,genre_image_url,rarity,like,outfit_id,outfit_image_url,note,detail_url,series_name,series_url
ロマンスビート キラッとワンピ,https://prichan.jp/resources/images/items/details/70250.jpg,ワンピース,PCH3-01,70250,緑,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,1900,3-01,https://prichan.jp/resources/images/items/outfits/3-01.png,,https://prichan.jp/items/details/70250.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトリーフトップス,https://prichan.jp/resources/images/items/details/70342.jpg,トップス,PCH3-19,70342,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,SR,700,3-06,https://prichan.jp/resources/images/items/outfits/3-06.png,,https://prichan.jp/items/details/70342.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろスカート,https://prichan.jp/resources/images/items/details/70265.jpg,ボトムス,PCH3-16,70265,紫,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,800,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70265.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろトップス,https://prichan.jp/resources/images/items/details/70264.jpg,トップス,PCH3-15,70264,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,850,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70264.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイヘアアクセ,https://prichan.jp/resources/images/items/details/70263.jpg,ヘアアクセ,PCH3-14,70263,水色,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70263.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろヘアアクセ,https://prichan.jp/resources/images/items/details/70267.jpg,ヘアアクセ,PCH3-18,70267,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,750,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70267.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろシューズ,https://prichan.jp/resources/images/items/details/70266.jpg,シューズ,PCH3-17,70266,白,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,750,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70266.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイシューズ,https://prichan.jp/resources/images/items/details/70262.jpg,シューズ,PCH3-13,70262,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70262.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイスカート,https://prichan.jp/resources/images/items/details/70261.jpg,ボトムス,PCH3-12,70261,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,800,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70261.html,,https://prichan.jp/items/index.html
プリ☆チャンユニフォーム ブルーヘアアクセ,https://prichan.jp/resources/images/items/details/70282.jpg,ヘアアクセ,PCH3-37,70282,青,prismstone,https://prichan.jp/resources/images/items/logo-prismstone.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,R,450,3-10,https://prichan.jp/resources/images/items/outfits/3-10.png,,https://prichan.jp/items/details/70282.html,,https://prichan.jp/items/index.html
ガールズエール キラッとワンピ,https://prichan.jp/resources/images/items/details/70100.jpg,ワンピース,PCH2-01,70100,水色,girlsyell,https://prichan.jp/resources/images/items/logo-girlsyell.png,pop,https://prichan.jp/resources/images/items/icon-pop.png,KR,1900,2-01,https://prichan.jp/resources/images/items/outfits/2-01.png,,https://prichan.jp/items/details/70100.html,,https://prichan.jp/items/2nd.html
ファンシーわたあめ,https://prichan.jp/resources/images/items/details/70316.jpg,パシャッとアイテム,PCH3-72,70316,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,R,450,,,,https://prichan.jp/items/details/70316.html,,https://prichan.jp/items/index.html
パンクキャット ホワイトイエロートップス,https://prichan.jp/resources/images/items/details/70115.jpg,トップス,PCH2-16,70115,白,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,850,2-05,https://prichan.jp/resources/images/items/outfits/2-05.png,,https://prichan.jp/items/details/70115.html,,https://prichan.jp/items/2nd.html
パンクキャット レッドヘアアクセ,https://prichan.jp/resources/images/items/details/70114.jpg,ヘアアクセ,PCH2-15,70114,黒,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,2-04,https://prichan.jp/resources/images/items/outfits/2-04.png,,https://prichan.jp/items/details/70114.html,,https://prichan.jp/items/2nd.html
