name,image_url,category,item_id,ticket_id,color,brand,brand_image_url,genre,genre_image_url,rarity,like,outfit_id,outfit_image_url,note,detail_url,series_name,series_url
ロマンスビート キラッとワンピ,https://prichan.jp/resources/images/items/details/70250.jpg,ワンピース,PCH3-01,70250,緑,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,1900,3-01,https://prichan.jp/resources/images/items/outfits/3-01.png,,https://prichan.jp/items/details/70250.html,,https://prichan.jp/items/index.html
ロマンスビート キラッとヘアアクセ,https://prichan.jp/resources/images/items/details/70252.jpg,ヘアアクセ,PCH3-03,70252,黒,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,900,3-01,https://prichan.jp/resources/images/items/outfits/3-01.png,,https://prichan.jp/items/details/70252.html,,https://prichan.jp/items/index.html
ゴシックフリル ナイトブルートップス,https://prichan.jp/resources/images/items/details/70256.jpg,トップス,PCH3-07,70256,黒,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,850,3-03,https://prichan.jp/resources/images/items/outfits/3-03.png,,https://prichan.jp/items/details/70256.html,,https://prichan.jp/items/index.html
ロマンスビート キラッとシューズ,https://prichan.jp/resources/images/items/details/70251.jpg,シューズ,PCH3-02,70251,黒,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,900,3-01,https://prichan.jp/resources/images/items/outfits/3-01.png,,https://prichan.jp/items/details/70251.html,,https://prichan.jp/items/index.html
シークレットアリス キラッとヘアアクセ,https://prichan.jp/resources/images/items/details/70255.jpg,ヘアアクセ,PCH3-06,70255,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,900,3-02,https://prichan.jp/resources/images/items/outfits/3-02.png,,https://prichan.jp/items/details/70255.html,,https://prichan.jp/items/index.html
シークレットアリス キラッとシューズ,https://prichan.jp/resources/images/items/details/70254.jpg,シューズ,PCH3-05,70254,黒,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,900,3-02,https://prichan.jp/resources/images/items/outfits/3-02.png,,https://prichan.jp/items/details/70254.html,,https://prichan.jp/items/index.html
シークレットアリス キラッとワンピ,https://prichan.jp/resources/images/items/details/70253.jpg,ワンピース,PCH3-04,70253,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,KR,1900,3-02,https://prichan.jp/resources/images/items/outfits/3-02.png,,https://prichan.jp/items/details/70253.html,,https://prichan.jp/items/index.html
はなやかゆかた ももいろトップス,https://prichan.jp/resources/images/items/details/70264.jpg,トップス,PCH3-15,70264,ピンク,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,850,3-05,https://prichan.jp/resources/images/items/outfits/3-05.png,,https://prichan.jp/items/details/70264.html,,https://prichan.jp/items/index.html
ガールズエール キラッとワンピ,https://prichan.jp/resources/images/items/details/70100.jpg,ワンピース,PCH2-01,70100,水色,girlsyell,https://prichan.jp/resources/images/items/logo-girlsyell.png,pop,https://prichan.jp/resources/images/items/icon-pop.png,KR,1900,2-01,https://prichan.jp/resources/images/items/outfits/2-01.png,,https://prichan.jp/items/details/70100.html,,https://prichan.jp/items/2nd.html
サマーメイド ホワイトスカイヘアアクセ,https://prichan.jp/resources/images/items/details/70263.jpg,ヘアアクセ,PCH3-14,70263,水色,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70263.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイシューズ,https://prichan.jp/resources/images/items/details/70262.jpg,シューズ,PCH3-13,70262,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70262.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイスカート,https://prichan.jp/resources/images/items/details/70261.jpg,ボトムス,PCH3-12,70261,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,800,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70261.html,,https://prichan.jp/items/index.html
サマーメイド ホワイトスカイトップス,https://prichan.jp/resources/images/items/details/70260.jpg,トップス,PCH3-11,70260,白,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,850,3-04,https://prichan.jp/resources/images/items/outfits/3-04.png,,https://prichan.jp/items/details/70260.html,,https://prichan.jp/items/index.html
ゴシックフリル ナイトブルーヘアアクセ,https://prichan.jp/resources/images/items/details/70259.jpg,ヘアアクセ,PCH3-10,70259,黒,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-03,https://prichan.jp/resources/images/items/outfits/3-03.png,,https://prichan.jp/items/details/70259.html,,https://prichan.jp/items/index.html
ゴシックフリル ナイトブルーシューズ,https://prichan.jp/resources/images/items/details/70258.jpg,シューズ,PCH3-09,70258,黒,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,750,3-03,https://prichan.jp/resources/images/items/outfits/3-03.png,,https://prichan.jp/items/details/70258.html,,https://prichan.jp/items/index.html
ゴシックフリル ナイトブルースカート,https://prichan.jp/resources/images/items/details/70257.jpg,ボトムス,PCH3-08,70257,黒,secretalice,https://prichan.jp/resources/images/items/logo-secretalice.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,800,3-03,https://prichan.jp/resources/images/items/outfits/3-03.png,,https://prichan.jp/items/details/70257.html,,https://prichan.jp/items/index.html
ピクニックギンガム ピンクケープワンピ,https://prichan.jp/resources/images/items/details/28150.jpg,ワンピース,YA-052,28150,ピンク,dollywaltz,https://prichan.jp/resources/images/items/logo-dollywaltz.png,love,https://prichan.jp/resources/images/items/icon-love.png,PR,1610,P-45,https://prichan.jp/resources/images/items/outfits/P-45.png,,https://prichan.jp/items/details/28150.html,,https://prichan.jp/items/promotion7_9.html
ダンシングマーチ ブルートップス,https://prichan.jp/resources/images/items/details/28027.jpg,トップス,CD-001,28027,青,girlsyell,https://prichan.jp/resources/images/items/logo-girlsyell.png,pop,https://prichan.jp/resources/images/items/icon-pop.png,R,550,P-23,https://prichan.jp/resources/images/items/outfits/P-23.png,,https://prichan.jp/items/details/28027.html,,https://prichan.jp/items/promotion4_6.html
はなやかゆかた ゆずいろトップス,https://prichan.jp/resources/images/items/details/70323.jpg,トップス,PCH3-83,70323,黄色,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,SR,700,3-33,https://prichan.jp/resources/images/items/outfits/3-33.png,,https://prichan.jp/items/details/70323.html,,https://prichan.jp/items/limited.html
ギンガムハート サンレッドトップス,https://prichan.jp/resources/images/items/details/70019.jpg,トップス,SH-01,70019,赤,sweethoney,https://prichan.jp/resources/images/items/logo-sweethoney.png,love,https://prichan.jp/resources/images/items/icon-love.png,SR,700,S-01,https://prichan.jp/resources/images/items/outfits/S-01.png,,https://prichan.jp/items/details/70019.html,,https://prichan.jp/items/brand.html
パープルローズ,https://prichan.jp/resources/images/items/details/70190.jpg,パシャッとアイテム,PCH2-80,70190,紫,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,SR,600,70190,https://prichan.jp/resources/images/items/outfits/70190.png,,https://prichan.jp/items/details/70190.html,,https://prichan.jp/items/nakayoshi.html
そらいろウサギさん ぬいぐるみ,https://prichan.jp/resources/images/items/details/70189.jpg,パシャッとアイテム,PCH2-79,70189,水色,dollywaltz,https://prichan.jp/resources/images/items/logo-dollywaltz.png,love,https://prichan.jp/resources/images/items/icon-love.png,SR,600,70189,https://prichan.jp/resources/images/items/outfits/70189.png,,https://prichan.jp/items/details/70189.html,,https://prichan.jp/items/nakayoshi.html
オレンジソーダ,https://prichan.jp/resources/images/items/details/70188.jpg,パシャッとアイテム,PCH2-78,70188,オレンジ,girlsyell,https://prichan.jp/resources/images/items/logo-girlsyell.png,pop,https://prichan.jp/resources/images/items/icon-pop.png,R,450,70188,https://prichan.jp/resources/images/items/outfits/70188.png,,https://prichan.jp/items/details/70188.html,,https://prichan.jp/items/nakayoshi.html
ピクニックギンガム パープルケープワンピ,https://prichan.jp/resources/images/items/details/28156.jpg,ワンピース,YA-058,28156,紫,universequeen,https://prichan.jp/resources/images/items/logo-universequeen.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,1610,P-47,https://prichan.jp/resources/images/items/outfits/P-47.png,,https://prichan.jp/items/details/28156.html,,https://prichan.jp/items/promotion7_9.html
ピクニックギンガム ブラックヘアアクセ,https://prichan.jp/resources/images/items/details/28155.jpg,アクセサリー,YA-057,28155,白,romancebeat,https://prichan.jp/resources/images/items/logo-romancebeat.png,cool,https://prichan.jp/resources/images/items/icon-cool.png,PR,730,P-46,https://prichan.jp/resources/images/items/outfits/P-46.png,,https://prichan.jp/items/details/28155.html,,https://prichan.jp/items/promotion7_9.html
WITHガールズ シューズ,https://prichan.jp/resources/images/items/details/28189.jpg,シューズ,CD-00８,28189,ピンク,,,,,R,550,P-49,https://prichan.jp/resources/images/items/outfits/P-49.png,,https://prichan.jp/items/details/28189.html,,https://prichan.jp/items/promotion7_9.html
